Id,Label,timeset,genres,followers,related artist,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,modularity_class,componentnumber,strongcompnum,clustering
0,*NSYNC,,"['boy band', 'dance pop', 'pop', 'post-teen pop']",1603363,,0,0,0,0,1,0,1,87,0,0,0
1,13 Organisé,,"['french hip hop', 'pop urbaine']",138778,,0,0,0,0,0,0,0,0,1,1,0
2,187 Strassenbande,,"['german hip hop', 'hamburg hip hop']",1241344,"RAF Camora, KC Rebell, Gzuz",5,0.375,0.501111,4.583333,4,3,7,10,2,9,0.366667
3,21 Savage,,"['atl hip hop', 'hip hop', 'rap', 'trap']",10175028,"Trippie Redd, Migos, Don Toliver, Lil Yachty, Gunna, Lil Baby, Baby Keem, NAV, Playboi Carti",17,0.111969,0.18806,770.314764,7,9,16,66,0,41,0.311111
4,24kGoldn,,"['cali rap', 'pop rap']",1377804,"Internet Money, TOKYO’S REVENGE, benny blanco, Lil Tecca, Juice WRLD, Lil Mosey, iann dior, Arizona Zervas, jxdn, Tyla Yaweh",13,0.17505,0.257121,6462.511304,1,10,11,66,0,41,0.233333
5,347aidan,,"['sad lo-fi', 'sad rap']",236481,,0,0,0,0,0,0,0,1,3,42,0
6,5 Seconds of Summer,,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",7890539,"One Direction, Jonas Brothers, ZAYN, Niall Horan, Madison Beer, Liam Payne",11,0.187905,0.241724,47.838107,8,6,14,87,0,41,0.377778
7,6ix9ine,,"['emo rap', 'rap']",6545366,"Roddy Ricch, YNW Melly, NAV, Lil Mosey",16,0.122535,0.180345,0.494755,1,4,5,66,0,41,0.55
8,A Boogie Wit da Hoodie,,"['melodic rap', 'rap', 'trap']",5976377,"Trippie Redd, Lil Tjay, Lil Yachty, Lil Mosey, YNW Melly, NAV",16,0.122968,0.190306,7.935706,3,6,9,66,0,41,0.357143
9,A$AP Ferg,,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",3095999,Migos,19,0.092602,0.129111,0,3,1,4,66,0,41,0.333333
10,AC/DC,,"['australian rock', 'hard rock', 'rock']",20778582,,0,0,0,0,1,0,1,8,4,43,0
11,AK AUSSERKONTROLLE,,['german hip hop'],706677,,0,0,0,0,1,0,1,10,2,6,0
12,ATB,,"['german dance', 'german techno', 'german trance', 'trance']",300781,,0,0,0,0,0,0,0,2,5,44,0
13,AURORA,,"['art pop', 'norwegian pop']",1844570,,0,0,0,0,0,0,0,3,6,45,0
14,Adele,,"['british soul', 'pop', 'pop soul', 'uk pop']",29134957,"Miley Cyrus, Meghan Trainor, Sam Smith, P!nk, Ellie Goulding, Kelly Clarkson, Leona Lewis, Sia",12,0.206221,0.285837,70.962302,1,8,9,87,0,47,0.142857
15,Agust D,,['k-rap'],6038181,TOMORROW X TOGETHER,1,1,1,0,1,1,2,4,7,49,0.5
16,Alan Walker,,['electro house'],30515652,"Sam Feldt, The Chainsmokers",14,0.147152,0.180407,0,0,2,2,72,0,56,0
17,Alec Benjamin,,"['alt z', 'dream smp', 'electropop', 'pop']",2953479,"Tate McRae, Dean Lewis, Alexander 23, Bea Miller",12,0.155774,0.193143,2971.011267,2,4,6,87,0,41,0.166667
18,Alex Rose,,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",2290748,"Myke Towers, Lunay, Rvssian, Jhay Cortez, Kevin Roldan",9,0.257353,0.390215,20.739185,11,5,16,100,0,32,0.381818
19,Alexander 23,,"['alt z', 'pop']",222488,"JP Saxe, Sara Kays",2,0.75,0.833333,245.368848,6,2,8,87,0,15,0.1
20,Ali Gatie,,"['canadian hip hop', 'pop']",1782799,"benny blanco, Tate McRae, Trevor Daniel, Kina",12,0.182952,0.231719,0,0,4,4,66,0,58,0.083333
21,Alida,,['norwegian pop'],17068,Robin Schulz,2,0.6,0.666667,0,0,1,1,72,0,59,0
22,Alok,,"['electro house', 'pop nacional', 'slap house']",10569336,PEDRO SAMPAIO,3,0.5,0.583333,0,0,1,1,90,8,62,0
23,Andy Williams,,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']",380035,"Brenda Lee, Perry Como",2,0.75,0.833333,2.5,7,2,9,97,9,63,0.404762
24,Anitta,,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",10828270,Luísa Sonza,3,0.5,0.611111,0,1,1,2,90,8,61,0
25,Anne-Marie,,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",8449283,"Bebe Rexha, Mabel, Niall Horan, Ellie Goulding, Liam Payne",12,0.174349,0.226982,268.447379,10,5,15,87,0,41,0.245455
