Source,Target,Type,Weight
187 Strassenbande,RAF Camora,Undirected,1
187 Strassenbande,Gzuz,Undirected,1
187 Strassenbande,KC Rebell,Undirected,1
21 Savage,Trippie Redd,Undirected,1
21 Savage,Lil Baby,Undirected,1
21 Savage,Don Toliver,Undirected,1
21 Savage,Gunna,Undirected,1
21 Savage,NAV,Undirected,1
21 Savage,Baby Keem,Undirected,1
21 Savage,Playboi Carti,Undirected,1
21 Savage,Migos,Undirected,1
21 Savage,Lil Yachty,Undirected,1
24kGoldn,Arizona Zervas,Undirected,1
24kGoldn,Tyla Yaweh,Undirected,1
24kGoldn,iann dior,Undirected,1
24kGoldn,jxdn,Undirected,1
24kGoldn,Juice WRLD,Undirected,1
24kGoldn,Internet Money,Undirected,1
24kGoldn,TOKYO’S REVENGE,Undirected,1
24kGoldn,Lil Tecca,Undirected,1
24kGoldn,Lil Mosey,Undirected,1
24kGoldn,benny blanco,Undirected,1
5 Seconds of Summer,One Direction,Undirected,1
5 Seconds of Summer,Niall Horan,Undirected,1
5 Seconds of Summer,ZAYN,Undirected,1
5 Seconds of Summer,Jonas Brothers,Undirected,1
5 Seconds of Summer,Madison Beer,Undirected,1
5 Seconds of Summer,Liam Payne,Undirected,1
6ix9ine,Lil Mosey,Undirected,1
6ix9ine,Internet Money,Undirected,1
6ix9ine,Lil Yachty,Undirected,1
6ix9ine,NAV,Undirected,1
A Boogie Wit da Hoodie,YNW Melly,Undirected,1
A Boogie Wit da Hoodie,Trippie Redd,Undirected,1
A Boogie Wit da Hoodie,Lil Tjay,Undirected,1
A Boogie Wit da Hoodie,NAV,Undirected,1
A Boogie Wit da Hoodie,Lil Mosey,Undirected,1
A Boogie Wit da Hoodie,Lil Yachty,Undirected,1
A$AP Ferg,Migos,Undirected,1
Adele,Sia,Undirected,1
Adele,Kelly Clarkson,Undirected,1
Adele,Ellie Goulding,Undirected,1
Adele,Miley Cyrus,Undirected,1
Adele,Leona Lewis,Undirected,1
Adele,Meghan Trainor,Undirected,1
Adele,Sam Smith,Undirected,1
Adele,P!nk,Undirected,1
Agust D,TOMORROW X TOGETHER,Undirected,1
Alan Walker,Sam Feldt,Undirected,1
Alan Walker,The Chainsmokers,Undirected,1
Alec Benjamin,Tate McRae,Undirected,1
Alec Benjamin,Alexander 23,Undirected,1
Alec Benjamin,Dean Lewis,Undirected,1
Alec Benjamin,Bea Miller,Undirected,1
Alex Rose,Myke Towers,Undirected,1
Alex Rose,Lunay,Undirected,1
Alex Rose,Kevin Roldan,Undirected,1
Alex Rose,Rvssian,Undirected,1
Alex Rose,Jhay Cortez,Undirected,1
Alexander 23,JP Saxe,Undirected,1
Alexander 23,Sara Kays,Undirected,1
Ali Gatie,Tate McRae,Undirected,1
Ali Gatie,Trevor Daniel,Undirected,1
Ali Gatie,benny blanco,Undirected,1
Ali Gatie,Kina,Undirected,1
Alida,Robin Schulz,Undirected,1
Alok,PEDRO SAMPAIO,Undirected,1
Andy Williams,Brenda Lee,Undirected,1
Andy Williams,Perry Como,Undirected,1
Anitta,Luísa Sonza,Undirected,1
Anne-Marie,Mabel,Undirected,1
Anne-Marie,Ellie Goulding,Undirected,1
Anne-Marie,Bebe Rexha,Undirected,1
Anne-Marie,Niall Horan,Undirected,1
Anne-Marie,Liam Payne,Undirected,1
Ant Saunders,MAX,Undirected,1
Ant Saunders,Peach Tree Rascals,Undirected,1
Ant Saunders,Alexander 23,Undirected,1
Anuel AA,Tainy,Undirected,1
Anuel AA,Myke Towers,Undirected,1
Anuel AA,Lunay,Undirected,1
Anuel AA,Bad Bunny,Undirected,1
Anuel AA,Rvssian,Undirected,1
Anuel AA,Jhay Cortez,Undirected,1
Anuel AA,Nio Garcia,Undirected,1
Apache 207,Bausa,Undirected,1
Apache 207,KC Rebell,Undirected,1
Arcangel,Nicky Jam,Undirected,1
Arcangel,Jowell & Randy,Undirected,1
Arcangel,Farruko,Undirected,1
Arcangel,Wisin,Undirected,1
Arcangel,Yandel,Undirected,1
Ariana Grande,Miley Cyrus,Undirected,1
Ariana Grande,Demi Lovato,Undirected,1
Ariana Grande,Bebe Rexha,Undirected,1
Ariana Grande,Camila Cabello,Undirected,1
Ariana Grande,Little Mix,Undirected,1
Ariana Grande,Selena Gomez,Undirected,1
Ariana Grande,Sabrina Carpenter,Undirected,1
Ariana Grande,ZAYN,Undirected,1
Ariana Grande,Halsey,Undirected,1
Ariana Grande,Madison Beer,Undirected,1
Ariana Grande,Bea Miller,Undirected,1
Arizona Zervas,Trevor Daniel,Undirected,1
Ashe,Tate McRae,Undirected,1
Ashe,Bea Miller,Undirected,1
Ashe,Sara Kays,Undirected,1
Ashe,Conan Gray,Undirected,1
Ashnikko,BIA,Undirected,1
Ava Max,Mabel,Undirected,1
Ava Max,Ellie Goulding,Undirected,1
Ava Max,Bebe Rexha,Undirected,1
Ava Max,Camila Cabello,Undirected,1
Ava Max,Anne-Marie,Undirected,1
Ava Max,Sabrina Carpenter,Undirected,1
Ava Max,Clean Bandit,Undirected,1
Ava Max,Madison Beer,Undirected,1
Avicii,Galantis,Undirected,1
Avicii,Martin Garrix,Undirected,1
Aya Nakamura,Vegedream,Undirected,1
BANNERS,Dean Lewis,Undirected,1
BENEE,Peach Tree Rascals,Undirected,1
BLACKPINK,Red Velvet,Undirected,1
BLACKPINK,K/DA,Undirected,1
BLACKPINK,TWICE,Undirected,1
BLACKPINK,ROSÉ,Undirected,1
BLANCO,Bazzi,Undirected,1
BLANCO,Internet Money,Undirected,1
BLANCO,Arizona Zervas,Undirected,1
BLANCO,Trevor Daniel,Undirected,1
BTS,TOMORROW X TOGETHER,Undirected,1
BTS,Agust D,Undirected,1
Baby Keem,Cordae,Undirected,1
Bad Bunny,Ozuna,Undirected,1
Bad Bunny,Anuel AA,Undirected,1
Bad Bunny,Tainy,Undirected,1
Bad Bunny,Myke Towers,Undirected,1
Bad Bunny,Alex Rose,Undirected,1
Bad Bunny,KAROL G,Undirected,1
Bad Bunny,Lunay,Undirected,1
Bad Bunny,Kevin Roldan,Undirected,1
Bad Bunny,Rvssian,Undirected,1
Bad Bunny,Jhay Cortez,Undirected,1
Bad Bunny,Nio Garcia,Undirected,1
Bad Bunny,Rauw Alejandro,Undirected,1
Band Aid,Wham!,Undirected,1
Band Aid,Bobby Helms,Undirected,1
Bas,BANNERS,Undirected,1
Bas,Tom Grennan,Undirected,1
Bausa,Bonez MC,Undirected,1
Bausa,Dardan,Undirected,1
Bausa,Zuna,Undirected,1
Bausa,KC Rebell,Undirected,1
Bausa,KitschKrieg,Undirected,1
Bazzi,Lauv,Undirected,1
Bazzi,ZAYN,Undirected,1
Bazzi,MAX,Undirected,1
Bazzi,Khalid,Undirected,1
Bazzi,Madison Beer,Undirected,1
Bazzi,benny blanco,Undirected,1
Bazzi,Bea Miller,Undirected,1
Bea Miller,Madison Beer,Undirected,1
Beach Bunny,Wallows,Undirected,1
Bebe Rexha,Mabel,Undirected,1
Bebe Rexha,Ellie Goulding,Undirected,1
Bebe Rexha,Demi Lovato,Undirected,1
Bebe Rexha,Camila Cabello,Undirected,1
Bebe Rexha,Anne-Marie,Undirected,1
Bebe Rexha,Halsey,Undirected,1
Bebe Rexha,Madison Beer,Undirected,1
Bebe Rexha,Bea Miller,Undirected,1
Becky G,Lele Pons,Undirected,1
Becky G,KAROL G,Undirected,1
Becky G,Lunay,Undirected,1
Becky G,Natti Natasha,Undirected,1
Becky G,Tainy,Undirected,1
Belly,The Weeknd,Undirected,1
Belly,French Montana,Undirected,1
Belly,Travis Scott,Undirected,1
Belly,Meek Mill,Undirected,1
Beyoncé,Kehlani,Undirected,1
Beyoncé,Normani,Undirected,1
Big Sean,French Montana,Undirected,1
Big Sean,Ty Dolla $ign,Undirected,1
Big Sean,A$AP Ferg,Undirected,1
Big Sean,Meek Mill,Undirected,1
Billie Eilish,Lorde,Undirected,1
Billie Eilish,MARINA,Undirected,1
Billie Eilish,Bazzi,Undirected,1
Billie Eilish,Harry Styles,Undirected,1
Billie Eilish,Conan Gray,Undirected,1
Billie Eilish,Ashe,Undirected,1
Billie Eilish,Tate McRae,Undirected,1
Billie Eilish,Melanie Martinez,Undirected,1
Billie Eilish,The Neighbourhood,Undirected,1
Billie Eilish,Halsey,Undirected,1
Billie Eilish,Madison Beer,Undirected,1
Billie Eilish,Bea Miller,Undirected,1
Bing Crosby,Andy Williams,Undirected,1
Bing Crosby,Burl Ives,Undirected,1
Bing Crosby,Perry Como,Undirected,1
Bizarrap,KHEA,Undirected,1
Bizarrap,Trueno,Undirected,1
Black Eyed Peas,Britney Spears,Undirected,1
Black Eyed Peas,Justin Timberlake,Undirected,1
Black Eyed Peas,Gwen Stefani,Undirected,1
Black Eyed Peas,Nelly Furtado,Undirected,1
Black Eyed Peas,Jason Derulo,Undirected,1
Blxst,K CAMP,Undirected,1
Blxst,Vedo,Undirected,1
Bo Burnham,Dream,Undirected,1
Bobby Helms,Darlene Love,Undirected,1
Bobby Helms,Brenda Lee,Undirected,1
Bobby Helms,Burl Ives,Undirected,1
Bobby Helms,Perry Como,Undirected,1
Bonez MC,RAF Camora,Undirected,1
Bonez MC,Gzuz,Undirected,1
Bonez MC,Dardan,Undirected,1
Bonez MC,Zuna,Undirected,1
Bonez MC,KC Rebell,Undirected,1
Bonez MC,Bausa,Undirected,1
Bonez MC,187 Strassenbande,Undirected,1
Boomdabash,Fedez,Undirected,1
Brenda Lee,Andy Williams,Undirected,1
Brenda Lee,Perry Como,Undirected,1
Brent Faiyaz,Bryson Tiller,Undirected,1
Brent Faiyaz,H.E.R.,Undirected,1
Brent Faiyaz,PARTYNEXTDOOR,Undirected,1
Brett Eldredge,Walker Hayes,Undirected,1
Britney Spears,Gwen Stefani,Undirected,1
Britney Spears,Kelly Clarkson,Undirected,1
Britney Spears,Nelly Furtado,Undirected,1
Britney Spears,Miley Cyrus,Undirected,1
Britney Spears,Kylie Minogue,Undirected,1
Bruno Mars,Justin Timberlake,Undirected,1
Bruno Mars,Jason Mraz,Undirected,1
Bruno Mars,Jason Derulo,Undirected,1
Bruno Mars,One Direction,Undirected,1
Bruno Mars,Meghan Trainor,Undirected,1
Bruno Mars,ZAYN,Undirected,1
Bruno Mars,Katy Perry,Undirected,1
Bryson Tiller,Jhené Aiko,Undirected,1
Bryson Tiller,PARTYNEXTDOOR,Undirected,1
Bryson Tiller,Brent Faiyaz,Undirected,1
Burl Ives,Perry Como,Undirected,1
C. Tangana,Marc Seguí,Undirected,1
CJ,DDG,Undirected,1
CORPSE,Dream,Undirected,1
Cali Y El Dandee,Piso 21,Undirected,1
Calvin Harris,Kygo,Undirected,1
Calvin Harris,Galantis,Undirected,1
Calvin Harris,The Chainsmokers,Undirected,1
Camila Cabello,Bazzi,Undirected,1
Camila Cabello,Demi Lovato,Undirected,1
Camila Cabello,Selena Gomez,Undirected,1
Camila Cabello,Meghan Trainor,Undirected,1
Camila Cabello,ZAYN,Undirected,1
Camila Cabello,Niall Horan,Undirected,1
Camila Cabello,Halsey,Undirected,1
Camila Cabello,Madison Beer,Undirected,1
Camila Cabello,Liam Payne,Undirected,1
Camila Cabello,Bea Miller,Undirected,1
Camilo,Cali Y El Dandee,Undirected,1
Camilo,Manuel Turizo,Undirected,1
Camilo,KAROL G,Undirected,1
Camilo,Natti Natasha,Undirected,1
Camilo,TINI,Undirected,1
Camilo,Piso 21,Undirected,1
Camilo,Sebastian Yatra,Undirected,1
Camilo,Reik,Undirected,1
Capital Bra,Dardan,Undirected,1
Capital Bra,Miksu / Macloud,Undirected,1
