Source,Target,Type,Weight
2,383,Undirected,1
2,234,Undirected,1
2,176,Undirected,1
3,475,Undirected,1
3,319,Undirected,1
3,132,Undirected,1
3,269,Undirected,1
3,172,Undirected,1
3,261,Undirected,1
3,46,Undirected,1
3,334,Undirected,1
3,376,Undirected,1
4,192,Undirected,1
4,442,Undirected,1
4,504,Undirected,1
4,265,Undirected,1
4,223,Undirected,1
4,262,Undirected,1
4,507,Undirected,1
4,32,Undirected,1
4,508,Undirected,1
4,480,Undirected,1
6,356,Undirected,1
6,214,Undirected,1
6,500,Undirected,1
6,344,Undirected,1
6,292,Undirected,1
6,260,Undirected,1
7,399,Undirected,1
7,497,Undirected,1
7,334,Undirected,1
7,262,Undirected,1
8,475,Undirected,1
8,266,Undirected,1
8,269,Undirected,1
8,262,Undirected,1
8,497,Undirected,1
8,334,Undirected,1
9,319,Undirected,1
14,322,Undirected,1
14,315,Undirected,1
14,410,Undirected,1
14,360,Undirected,1
14,145,Undirected,1
14,243,Undirected,1
14,258,Undirected,1
14,426,Undirected,1
15,443,Undirected,1
16,408,Undirected,1
16,452,Undirected,1
17,448,Undirected,1
17,125,Undirected,1
17,19,Undirected,1
17,54,Undirected,1
18,331,Undirected,1
18,279,Undirected,1
18,402,Undirected,1
18,206,Undirected,1
18,245,Undirected,1
19,197,Undirected,1
19,412,Undirected,1
20,504,Undirected,1
20,448,Undirected,1
20,472,Undirected,1
20,248,Undirected,1
21,396,Undirected,1
22,362,Undirected,1
23,76,Undirected,1
23,372,Undirected,1
24,280,Undirected,1
25,56,Undirected,1
25,287,Undirected,1
25,344,Undirected,1
25,145,Undirected,1
25,260,Undirected,1
26,369,Undirected,1
26,282,Undirected,1
26,19,Undirected,1
27,348,Undirected,1
27,331,Undirected,1
27,279,Undirected,1
27,402,Undirected,1
27,206,Undirected,1
27,47,Undirected,1
27,445,Undirected,1
28,234,Undirected,1
28,52,Undirected,1
29,219,Undirected,1
29,346,Undirected,1
29,498,Undirected,1
29,494,Undirected,1
29,152,Undirected,1
31,271,Undirected,1
31,56,Undirected,1
31,322,Undirected,1
31,351,Undirected,1
31,500,Undirected,1
31,179,Undirected,1
31,292,Undirected,1
31,91,Undirected,1
31,417,Undirected,1
31,127,Undirected,1
31,54,Undirected,1
32,472,Undirected,1
33,448,Undirected,1
33,412,Undirected,1
33,104,Undirected,1
33,54,Undirected,1
34,41,Undirected,1
35,56,Undirected,1
35,287,Undirected,1
35,101,Undirected,1
35,25,Undirected,1
35,407,Undirected,1
35,292,Undirected,1
35,145,Undirected,1
35,91,Undirected,1
36,163,Undirected,1
36,304,Undirected,1
37,486,Undirected,1
39,125,Undirected,1
40,369,Undirected,1
42,385,Undirected,1
42,388,Undirected,1
42,444,Undirected,1
42,230,Undirected,1
43,53,Undirected,1
43,192,Undirected,1
43,32,Undirected,1
43,472,Undirected,1
45,15,Undirected,1
45,443,Undirected,1
46,106,Undirected,1
47,18,Undirected,1
47,348,Undirected,1
47,331,Undirected,1
47,279,Undirected,1
47,402,Undirected,1
47,232,Undirected,1
47,27,Undirected,1
47,245,Undirected,1
47,386,Undirected,1
47,206,Undirected,1
47,359,Undirected,1
47,445,Undirected,1
48,70,Undirected,1
48,492,Undirected,1
51,465,Undirected,1
51,39,Undirected,1
52,502,Undirected,1
52,71,Undirected,1
52,120,Undirected,1
52,249,Undirected,1
52,234,Undirected,1
53,282,Undirected,1
53,500,Undirected,1
53,504,Undirected,1
53,292,Undirected,1
53,246,Undirected,1
53,256,Undirected,1
53,54,Undirected,1
54,292,Undirected,1
55,490,Undirected,1
56,287,Undirected,1
56,25,Undirected,1
56,179,Undirected,1
56,292,Undirected,1
56,145,Undirected,1
56,91,Undirected,1
56,127,Undirected,1
56,54,Undirected,1
57,257,Undirected,1
57,279,Undirected,1
57,232,Undirected,1
57,340,Undirected,1
57,445,Undirected,1
59,313,Undirected,1
59,159,Undirected,1
59,460,Undirected,1
59,471,Undirected,1
60,242,Undirected,1
60,351,Undirected,1
62,313,Undirected,1
62,159,Undirected,1
62,51,Undirected,1
62,478,Undirected,1
63,448,Undirected,1
63,274,Undirected,1
63,33,Undirected,1
63,53,Undirected,1
63,281,Undirected,1
63,316,Undirected,1
63,179,Undirected,1
63,292,Undirected,1
63,456,Undirected,1
63,181,Undirected,1
63,104,Undirected,1
63,54,Undirected,1
64,23,Undirected,1
