Id,Artist
0,*NSYNC
1,13 Organisé
2,187 Strassenbande
3,21 Savage
4,24kGoldn
5,347aidan
6,5 Seconds of Summer
7,6ix9ine
8,A Boogie Wit da Hoodie
9,A$AP Ferg
10,AC/DC
11,AK AUSSERKONTROLLE
12,ATB
13,AURORA
14,Adele
15,Agust D
16,Alan Walker
17,Alec Benjamin
18,Alex Rose
19,Alexander 23
20,Ali Gatie
21,Alida
22,Alok
23,Andy Williams
24,Anitta
25,Anne-Marie
26,Ant Saunders
27,Anuel AA
28,Apache 207
29,Arcangel
30,Arctic Monkeys
31,Ariana Grande
32,Arizona Zervas
33,Ashe
34,Ashnikko
35,Ava Max
36,Avicii
37,Aya Nakamura
38,BANDIDO
39,BANNERS
40,BENEE
41,BIA
42,BLACKPINK
43,BLANCO
44,BROCKHAMPTON
45,BTS
46,Baby Keem
47,Bad Bunny
48,Band Aid
49,Banda MS de Sergio Lizárraga
50,Barbara Pravi
51,Bas
52,Bausa
53,Bazzi
54,Bea Miller
55,Beach Bunny
56,Bebe Rexha
57,Becky G
58,Bella Poarch
59,Belly
60,Beyoncé
61,Big Red Machine
62,Big Sean
63,Billie Eilish
64,Bing Crosby
65,Bizarrap
66,Black Eyed Peas
67,Blind Channel
68,Blxst
69,Bo Burnham
70,Bobby Helms
71,Bonez MC
72,Booba
73,Boomdabash
74,Bosh
75,Boza
76,Brenda Lee
77,Brent Faiyaz
78,Brett Eldredge
79,Bring Me The Horizon
80,Britney Spears
81,Bruce Springsteen
82,Bruno Mars
83,Bryson Tiller
84,Burl Ives
85,BØRNS
86,C. Tangana
87,CJ
88,CORPSE
89,Cali Y El Dandee
90,Calvin Harris
91,Camila Cabello
92,Camilo
93,Capital Bra
94,Cardi B
95,Childish Gambino
96,Chris Brown
97,Chris Rea
98,Christian Nodal
99,Chuck Berry
100,Clairo
101,Clean Bandit
102,Cochise
103,Coldplay
104,Conan Gray
105,Conkarah
106,Cordae
107,Crissin
108,Curtis Waters
109,DDG
110,DJ Ivis
111,DJ Khaled
112,DJ Snake
113,DMX
114,DaBaby
115,Daddy Yankee
116,Dadá Boladão
117,Dalex
118,Damso
119,Dan + Shay
120,Dardan
121,Darlene Love
122,Daryl Hall & John Oates
123,Dave
124,Daði Freyr
125,Dean Lewis
126,Dean Martin
127,Demi Lovato
128,Diego & Victor Hugo
129,Dj Guuga
130,Doja Cat
131,Dominic Fike
132,Don Toliver
133,Donny Hathaway
134,Drake
135,Dream
136,DripReport
137,Dua Lipa
138,Duncan Laurence
139,Dímelo Flow
140,Eagles
141,Earth
142,Eartha Kitt
143,Ed Sheeran
144,El Alfa
145,Ellie Goulding
146,Elton John
147,Elvis Presley
148,ElyOtto
149,Emilia
150,Eminem
151,Erica Banks
152,Farruko
153,Fedez
154,Feid
155,Fleetwood Mac
156,Fousheé
157,Francesca Michielin
158,Frank Sinatra
159,French Montana
160,Future
161,G Herbo
162,G-Eazy
163,Galantis
164,Gambi
165,Gera MX
166,Giveon
167,Gjon's Tears
168,Glass Animals
169,Go_A
170,Gotye
171,Gradur
172,Gunna
173,Gusttavo Lima
174,Gwen Stefani
175,Gym Class Heroes
176,Gzuz
177,H.E.R.
178,HVME
179,Halsey
180,Harry Nach
181,Harry Styles
182,Headie One
183,Henrique & Juliano
184,Hippie Sabotage
185,Hozier
186,Hugo & Guilherme
187,ITZY
188,IU
189,Idina Menzel
190,Imagine Dragons
191,Ingratax
192,Internet Money
193,Israel & Rodolffo
194,J Balvin
195,J. Cole
196,JACKBOYS
197,JP Saxe
198,Jack Harlow
199,James Arthur
200,Jamie Miller
201,Jason Derulo
202,Jason Mraz
203,Jawsh 685
204,Jay Wheeler
205,Jerry Di
206,Jhay Cortez
207,Jhené Aiko
208,Joel Corry
209,John Legend
210,John Lennon
211,John Mayer
212,Joji
213,Joker Bra
214,Jonas Brothers
215,Jonas Esticado
216,Jorge & Mateus
217,José Feliciano
218,Journey
219,Jowell & Randy
220,Joyner Lucas
221,João Gomes
222,Juanfran
223,Juice WRLD
224,Juju
225,Justin Bieber
226,Justin Quiles
227,Justin Timberlake
228,Justin Wellington
229,K CAMP
230,K/DA
231,KALIM
232,KAROL G
233,KASIMIR1441
234,KC Rebell
235,KHEA
236,KSI
237,Kali Uchis
238,Kane Brown
239,Kanye West
240,Katy Perry
241,Kawe
242,Kehlani
243,Kelly Clarkson
244,Kendrick Lamar
245,Kevin Roldan
246,Khalid
247,Kid Cudi
248,Kina
249,KitschKrieg
250,Kontra K
251,Kygo
252,Kylie Minogue
253,Labrinth
254,Lady Gaga
255,Lana Del Rey
256,Lauv
257,Lele Pons
258,Leona Lewis
