Id,Artist,Genres,Followers
0,*NSYNC,"['boy band', 'dance pop', 'pop', 'post-teen pop']",1603363
1,13 Organisé,"['french hip hop', 'pop urbaine']",138778
2,187 Strassenbande,"['german hip hop', 'hamburg hip hop']",1241344
3,21 Savage,"['atl hip hop', 'hip hop', 'rap', 'trap']",10175028
4,24kGoldn,"['cali rap', 'pop rap']",1377804
5,347aidan,"['sad lo-fi', 'sad rap']",236481
6,5 Seconds of Summer,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",7890539
7,6ix9ine,"['emo rap', 'rap']",6545366
8,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",5976377
9,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",3095999
10,AC/DC,"['australian rock', 'hard rock', 'rock']",20778582
11,AK AUSSERKONTROLLE,['german hip hop'],706677
12,ATB,"['german dance', 'german techno', 'german trance', 'trance']",300781
13,AURORA,"['art pop', 'norwegian pop']",1844570
14,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",29134957
15,Agust D,['k-rap'],6038181
16,Alan Walker,['electro house'],30515652
17,Alec Benjamin,"['alt z', 'dream smp', 'electropop', 'pop']",2953479
18,Alex Rose,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",2290748
19,Alexander 23,"['alt z', 'pop']",222488
20,Ali Gatie,"['canadian hip hop', 'pop']",1782799
21,Alida,['norwegian pop'],17068
22,Alok,"['electro house', 'pop nacional', 'slap house']",10569336
23,Andy Williams,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']",380035
24,Anitta,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",10828270
25,Anne-Marie,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",8449283
26,Ant Saunders,"['chill r&b', 'pop']",83242
27,Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",18945557
28,Apache 207,['german hip hop'],1728140
29,Arcangel,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",6881294
30,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",12709531
31,Ariana Grande,"['dance pop', 'pop']",69656977
32,Arizona Zervas,"['pop rap', 'rhode island rap']",631025
33,Ashe,"['alt z', 'electropop', 'indie pop', 'pop']",710642
