ID,Label,Genres,Followers,Related Artist
0,*NSYNC,"['boy band', 'dance pop', 'pop', 'post-teen pop']",1603363,
1,13 Organisé,"['french hip hop', 'pop urbaine']",138778,
2,187 Strassenbande,"['german hip hop', 'hamburg hip hop']",1241344,"RAF Camora, KC Rebell, Gzuz"
3,21 Savage,"['atl hip hop', 'hip hop', 'rap', 'trap']",10175028,"Trippie Redd, Migos, Don Toliver, Lil Yachty, Gunna, Lil Baby, Baby Keem, NAV, Playboi Carti"
4,24kGoldn,"['cali rap', 'pop rap']",1377804,"Internet Money, TOKYO’S REVENGE, benny blanco, Lil Tecca, Juice WRLD, Lil Mosey, iann dior, Arizona Zervas, jxdn, Tyla Yaweh"
5,347aidan,"['sad lo-fi', 'sad rap']",236481,
6,5 Seconds of Summer,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",7890539,"One Direction, Jonas Brothers, ZAYN, Niall Horan, Madison Beer, Liam Payne"
7,6ix9ine,"['emo rap', 'rap']",6545366,"Roddy Ricch, YNW Melly, NAV, Lil Mosey"
8,A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",5976377,"Trippie Redd, Lil Tjay, Lil Yachty, Lil Mosey, YNW Melly, NAV"
9,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",3095999,Migos
10,AC/DC,"['australian rock', 'hard rock', 'rock']",20778582,
11,AK AUSSERKONTROLLE,['german hip hop'],706677,
12,ATB,"['german dance', 'german techno', 'german trance', 'trance']",300781,
13,AURORA,"['art pop', 'norwegian pop']",1844570,
14,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",29134957,"Miley Cyrus, Meghan Trainor, Sam Smith, P!nk, Ellie Goulding, Kelly Clarkson, Leona Lewis, Sia"
15,Agust D,['k-rap'],6038181,TOMORROW X TOGETHER
16,Alan Walker,['electro house'],30515652,"Sam Feldt, The Chainsmokers"
17,Alec Benjamin,"['alt z', 'dream smp', 'electropop', 'pop']",2953479,"Tate McRae, Dean Lewis, Alexander 23, Bea Miller"
18,Alex Rose,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",2290748,"Myke Towers, Lunay, Rvssian, Jhay Cortez, Kevin Roldan"
19,Alexander 23,"['alt z', 'pop']",222488,"JP Saxe, Sara Kays"
20,Ali Gatie,"['canadian hip hop', 'pop']",1782799,"benny blanco, Tate McRae, Trevor Daniel, Kina"
